"date","center_name","주문(취소제외)"
"2025-05-07","대전중구점",6002
"2025-05-07","도봉쌍문점",8640
"2025-05-07","동대문제기점",9005
"2025-05-07","동작상도점",6067
"2025-05-07","동탄점",7839
"2025-05-07","마포상암점",5320
"2025-05-07","부산남구점",4036
"2025-05-07","부산동래점",5525
"2025-05-07","부산사하점",3121
"2025-05-07","부산진구점",7024
"2025-05-07","부산해운대점",3363
"2025-05-07","부천점",8626
"2025-05-07","분당점",8525
"2025-05-07","서대문신촌점",13812
"2025-05-07","서초교대점",4986
"2025-05-07","서초내방점",5555
"2025-05-07","서초반포점",4675
"2025-05-07","성남점",7480
"2025-05-07","성동옥수점",6125
"2025-05-07","송파문정점",4416
"2025-05-07","송파신천점",3636
"2025-05-07","송파잠실점",5190
"2025-05-07","수원광교점",5001
"2025-05-07","수원권선점",4402
"2025-05-07","수원인계점",8762
"2025-05-07","시흥점",4615
"2025-05-07","안산점",8558
"2025-05-07","안양점",6711
"2025-05-07","영등포신길점",7732
"2025-05-07","오산점",5279
"2025-05-07","용산한남점",5414
"2025-05-07","용인점",6332
"2025-05-07","울산남구점",5042
"2025-05-07","원주점",6601
"2025-05-07","은평점",6712
"2025-05-07","의정부점",6756
"2025-05-07","인천검단점",2744
"2025-05-07","인천남부점",9375
"2025-05-07","인천부평점",11074
"2025-05-07","인천연수점",6737
"2025-05-07","인천용현점",4310
"2025-05-07","인천청라점",5889
"2025-05-07","일산점",6327
"2025-05-07","전주점",3170
"2025-05-07","중구명동점",4649
"2025-05-07","중랑면목점",6966
"2025-05-07","창원점",3034
"2025-05-07","천안점",9178
"2025-05-07","청주상당점",4857
"2025-05-07","청주흥덕점",5371
"2025-05-07","춘천점",2770
"2025-05-07","파주점",5101
"2025-05-07","평택고덕점",3128
"2025-05-07","평택점",8912
"2025-05-07","하남점",5097
"2025-05-08","강남논현점",7613
"2025-05-08","강남압구정점",4367
"2025-05-08","강남양재점",7280
"2025-05-08","강동천호점",6778
"2025-05-08","강북미아점",7414
"2025-05-08","강서가양점",7209
"2025-05-08","강서화곡점",9918
"2025-05-08","고양점",2936
"2025-05-08","관악신림점",9337
"2025-05-08","광진자양점",8120
"2025-05-08","구로신도림점",5128
"2025-05-08","구리점",4784
"2025-05-08","군포점",3524
"2025-05-08","금천독산점",6047
"2025-05-08","김포점",4767
"2025-05-08","김해점",2638
"2025-05-08","노원중계점",5850
"2025-05-08","대구달서점",5668
"2025-05-08","대구북구점",2606
"2025-05-08","대구수성점",4717
"2025-05-08","대구중구점",3578
"2025-05-08","대전서구점",7275
"2025-05-08","대전유성점",3957
"2025-05-08","대전중구점",5767
"2025-05-08","도봉쌍문점",7692
"2025-05-08","동대문제기점",8792
