"운영일","PPC","hash","SKU","UNIT","SKU당 피킹시간","UNIT당 피킹시간","주차","월","년"
"2025-05-07","대전중구점","0vAtRg6v",64,81.0,"0.24",0.19037037037037036,19,5,2025
"2025-05-07","천안점","Y9R1tUY3",664,1003.0,"0.34",0.2246061814556331,19,5,2025
"2025-05-07","수원광교점","qwr5anBj",577,802.0,"0.28",0.204713216957606,19,5,2025
"2025-05-07","강남논현점","Xa8Y6Rot",398,564.0,"0.31",0.21609929078014184,19,5,2025
"2025-05-07","서대문신촌점","EHYB1bZF",16,23.0,"0.27",0.18869565217391304,19,5,2025
"2025-05-07","울산남구점","pthcl1aw",674,985.0,"0.25",0.17211167512690356,19,5,2025
"2025-05-07","인천부평점","oEkiYhez",566,864.0,"0.31",0.2059375,19,5,2025
"2025-05-07","청주흥덕점","aTW20PTL",181,267.0,"0.50",0.341310861423221,19,5,2025
"2025-05-07","안산점","yyH6XQ1c",123,162.0,"0.34",0.2619135802469136,19,5,2025
"2025-05-07","관악신림점","eVFrpI5a",480,683.0,"0.28",0.19395314787701318,19,5,2025
"2025-05-07","일산점","crBNT5pQ",357,508.0,"0.24",0.16600393700787403,19,5,2025
"2025-05-07","강서화곡점","4d8xkZvX",547,787.0,"0.31",0.21547649301143584,19,5,2025
"2025-05-07","구로신도림점","CoaZYFy1",544,828.0,"0.30",0.20002415458937198,19,5,2025
"2025-05-07","부천점","QkYnP6mH",200,261.0,"0.31",0.24088122605363985,19,5,2025
"2025-05-07","부천점","zgsGMiYb",273,402.0,"0.38",0.2569402985074627,19,5,2025
"2025-05-07","부산해운대점","mEp63FVK",108,159.0,"0.20",0.1350314465408805,19,5,2025
"2025-05-07","분당점","Jut1wQij",367,511.0,"0.28",0.202426614481409,19,5,2025
"2025-05-07","도봉쌍문점","IBLcSvQj",197,301.0,"0.20",0.13338870431893687,19,5,2025
"2025-05-07","도봉쌍문점","lIoMOBHd",493,739.0,"0.26",0.17447902571041948,19,5,2025
"2025-05-07","동탄점","WCIAjfJb",458,644.0,"0.26",0.1828416149068323,19,5,2025
"2025-05-07","강동천호점","CT4j0Y2y",533,848.0,"0.37",0.23363207547169812,19,5,2025
"2025-05-07","평택고덕점","0zCDcMXd",216,328.0,"0.38",0.24871951219512195,19,5,2025
"2025-05-07","대전유성점","LeiUcjMl",24,28.0,"0.19",0.16285714285714284,19,5,2025
"2025-05-07","대전유성점","niWOa3pq",324,463.0,"0.30",0.20773218142548597,19,5,2025
"2025-05-07","김포점","UuFAYY5a",211,284.0,"0.45",0.3339788732394366,19,5,2025
"2025-05-07","강서가양점","tfD9e5N1",176,257.0,"0.29",0.20108949416342412,19,5,2025
"2025-05-07","안양점","XBErYkjg",79,119.0,"0.27",0.18016806722689077,19,5,2025
"2025-05-07","마포상암점","zbXwrayf",402,658.0,"0.36",0.2189209726443769,19,5,2025
"2025-05-07","대전유성점","k33RP5NU",601,946.0,"0.33",0.21268498942917546,19,5,2025
"2025-05-07","청주상당점","Flaxmn5d",284,380.0,"0.30",0.22534210526315787,19,5,2025
"2025-05-07","분당점","ulupmVmt",394,569.0,"0.17",0.11755711775043937,19,5,2025
"2025-05-07","울산남구점","xryqPy56",152,256.0,"0.28",0.1646875,19,5,2025
