"일자","시간","FC명","작업자","입고 시간","진열 시간","입고진열 시간","입고지원 시간","총 입고시간","피킹대기 시간","피킹 시간","패킹 시간","총 피패킹 시간","지원 시간","휴게 시간","매뉴얼_미작업","오토_미작업","총 합계시간"
"2025-05-08","00","성남점","6iy5wckx","0.0","0.0","0.0","0.0","0.0","2.6","0.0","0.3","2.9","29.2","0.0","0.0","0.0","32.1"
"2025-05-08","00","부천점","QkYnP6mH","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.9","0.0","0.0","0.0","2.9"
"2025-05-08","00","강북미아점","KjKPUy7S","0.0","0.0","52.4","0.0","52.4","0.0","0.0","0.0","0.0","0.0","0.0","2.3","6.5","61.2"
"2025-05-08","00","서초반포점","TKuhRNfu","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","인천남부점","C1BPmW4x","0.0","0.0","0.0","0.0","0.0","1.8","0.0","1.2","3.0","0.0","0.0","0.0","0.0","3.0"
"2025-05-08","00","군포점","OPCsF0jw","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.1"
"2025-05-08","00","강서화곡점","4d8xkZvX","0.0","0.0","0.0","0.0","0.0","10.6","0.0","0.8","11.4","0.0","0.0","0.0","10.3","21.7"
"2025-05-08","00","수원인계점","bUfK3RiB","0.0","0.0","0.0","0.0","0.0","4.2","3.8","2.4","10.4","0.0","0.0","0.0","0.0","10.4"
"2025-05-08","00","송파문정점","rIcQ4szH","0.0","0.0","0.0","0.0","0.0","12.3","1.1","5.8","19.2","21.6","0.0","0.0","2.1","42.9"
"2025-05-08","00","부산진구점","2nzJXluQ","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.3"
"2025-05-08","00","강남논현점","i9Gc5bKj","0.0","0.0","0.0","0.0","0.0","3.1","5.0","2.8","10.9","0.0","0.0","0.0","0.0","10.9"
"2025-05-08","00","부천점","mETIww01","0.0","0.0","0.0","0.0","0.0","4.2","0.0","1.8","6.0","30.7","0.0","0.0","9.5","46.2"
"2025-05-08","00","강서가양점","tfD9e5N1","0.0","0.0","6.9","0.0","6.9","0.0","0.0","0.0","0.0","0.3","57.2","0.0","0.0","64.4"
"2025-05-08","00","수원광교점","qYx0mpLy","0.0","0.0","0.0","0.0","0.0","10.4","0.5","0.0","10.9","0.4","0.0","0.0","4.7","16.0"
"2025-05-08","00","대구북구점","I6nYB1RK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2025-05-08","00","영등포신길점","rbHSCBxJ","0.0","0.0","0.0","0.0","0.0","2.1","0.0","0.7","2.8","0.0","0.0","0.0","0.0","2.8"
"2025-05-08","00","동대문제기점","6pITvxa6","0.0","0.0","0.0","0.0","0.0","10.5","0.0","5.7","16.2","0.0","0.0","0.0","10.9","27.1"
"2025-05-08","00","의정부점","0k6uXtYI","0.0","0.0","57.3","0.0","57.3","0.0","0.0","0.0","0.0","1.8","0.0","10.8","0.0","69.9"
"2025-05-08","00","동작상도점","9M68uXrL","0.0","0.0","0.0","0.0","0.0","0.5","0.0","7.5","8.0","24.7","0.0","0.4","21.9","55.0"
"2025-05-08","00","서대문신촌점","vXjP8jKq","0.0","0.0","91.5","0.0","91.5","0.4","0.0","0.0","0.4","1.3","0.0","0.2","0.0","93.4"
"2025-05-08","00","시흥점","elKmRsTI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5","7.5"
"2025-05-08","00","평택점","u9ssHHt2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.4","0.0","0.1","0.0","3.5"
"2025-05-08","00","송파잠실점","Ashd0oom","0.0","0.0","24.7","0.0","24.7","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","24.8"
"2025-05-08","00","대전서구점","o71YHWG3","0.0","0.0","0.0","0.0","0.0","1.7","1.1","0.0","2.8","0.0","0.0","0.0","0.0","2.8"
"2025-05-08","00","강동천호점","qms5YgcS","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.5","0.6","19.4","0.0","0.0","11.0","31.0"
"2025-05-08","00","서초교대점","DKSUQHiV","0.0","0.0","0.0","0.0","0.0","1.3","2.2","1.8","5.3","0.0","0.0","0.0","0.0","5.3"
"2025-05-08","00","광진자양점","jse8n4Mk","0.0","0.0","51.4","0.0","51.4","1.8","8.7","7.6","18.1","0.0","0.0","0.2","0.0","69.7"
"2025-05-08","00","청주상당점","4N0QlzDW","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.4","0.0","0.0","0.0","29.4"
"2025-05-08","00","은평점","ECKAPnUn","0.0","0.0","48.1","0.0","48.1","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","48.2"
"2025-05-08","00","도봉쌍문점","ulNRzHsL","0.0","0.0","67.8","0.0","67.8","0.1","0.0","0.0","0.1","0.1","0.0","0.0","0.0","68.0"
"2025-05-08","00","강북미아점","hJsDe8uP","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","중랑면목점","OMFB6olM","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","인천용현점","LaNjkKVZ","0.0","0.0","0.0","0.0","0.0","1.1","0.8","0.7","2.6","0.6","0.0","0.0","7.8","11.0"
"2025-05-08","00","대구수성점","qdWFHg36","0.0","0.0","0.0","0.0","0.0","3.5","4.7","2.5","10.7","21.8","0.0","0.0","0.0","32.5"
"2025-05-08","00","노원중계점","CwSi5jis","0.0","0.0","0.0","0.0","0.0","1.7","2.2","0.3","4.2","0.5","0.0","0.0","0.0","4.7"
"2025-05-08","00","부산동래점","W19h6Em0","0.0","0.7","0.0","0.0","0.7","5.7","2.3","2.5","10.5","5.1","0.0","0.0","0.0","16.3"
"2025-05-08","00","대전유성점","k33RP5NU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.1","10.1"
"2025-05-08","00","안산점","4ums4Xb6","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.7","3.7","0.0","0.0","0.0","0.0","3.7"
"2025-05-08","00","광진자양점","bdjz0w8N","0.0","0.0","0.0","0.0","0.0","0.9","0.0","1.0","1.9","0.0","0.0","0.0","0.0","1.9"
"2025-05-08","00","송파신천점","n9q4uGrl","0.0","0.0","0.0","0.0","0.0","1.4","0.0","2.1","3.5","60.5","0.0","0.0","0.0","64.0"
"2025-05-08","00","강서가양점","rz7euC4u","0.0","0.0","128.9","0.0","128.9","0.0","0.0","0.0","0.0","0.0","0.9","0.1","0.0","129.9"
"2025-05-08","00","도봉쌍문점","PSWLS7yl","0.0","0.0","85.2","0.0","85.2","0.0","0.0","0.0","0.0","0.3","4.5","0.1","0.0","90.1"
