"date","name","hash","split_order_id","sku_code","prev_dt","dt","diff_seconds"
"2025-05-10","부천점","oOs9exjt","166383120","A21018117","2025-05-10 07:52:54","2025-05-10 07:53:19",24
"2025-05-10","부천점","oOs9exjt","166383177","A21019797","2025-05-10 06:14:27","2025-05-10 06:14:54",26
"2025-05-10","부천점","oOs9exjt","166383177","A21003520","2025-05-10 06:14:54","2025-05-10 06:15:03",9
"2025-05-10","부천점","oOs9exjt","166383177","S0001843","2025-05-10 06:15:03","2025-05-10 06:15:26",23
"2025-05-10","부천점","oOs9exjt","166383177","A21017516","2025-05-10 06:15:26","2025-05-10 06:15:41",14
"2025-05-10","부천점","oOs9exjt","166383177","A21017724","2025-05-10 06:15:41","2025-05-10 06:16:29",48
"2025-05-10","부천점","oOs9exjt","166383177","A21017724","2025-05-10 06:16:29","2025-05-10 06:16:45",15
"2025-05-10","부천점","oOs9exjt","166383177","S0004902","2025-05-10 06:16:45","2025-05-10 06:16:57",12
"2025-05-10","부천점","oOs9exjt","166383177","A21003293","2025-05-10 06:16:57","2025-05-10 06:17:04",6
"2025-05-10","부천점","oOs9exjt","166383177","A21005654","2025-05-10 06:17:04","2025-05-10 06:17:20",16
"2025-05-10","부천점","oOs9exjt","166383177","A20004202","2025-05-10 06:17:20","2025-05-10 06:17:26",5
"2025-05-10","부천점","oOs9exjt","166383177","A21017527","2025-05-10 06:17:26","2025-05-10 06:18:11",45
"2025-05-10","부천점","oOs9exjt","166383177","A21002291","2025-05-10 06:18:11","2025-05-10 06:18:53",42
"2025-05-10","부천점","oOs9exjt","166383177","S0003019","2025-05-10 06:18:53","2025-05-10 06:19:08",14
"2025-05-10","부천점","oOs9exjt","166383177","A21012070","2025-05-10 06:19:08","2025-05-10 06:19:35",26
"2025-05-10","부천점","vqdeN3Np","166383327","A21002850","2025-05-10 06:08:51","2025-05-10 06:09:13",22
"2025-05-10","부천점","vqdeN3Np","166383327","A21021068","2025-05-10 06:09:13","2025-05-10 06:09:41",28
"2025-05-10","부천점","vqdeN3Np","166383327","A21021843","2025-05-10 06:09:41","2025-05-10 06:10:13",31
"2025-05-10","부천점","vqdeN3Np","166383327","A21010635","2025-05-10 06:10:13","2025-05-10 06:10:33",20
"2025-05-10","부천점","CkhYuetU","166383374","A21016355","2025-05-10 08:45:51","2025-05-10 08:46:15",24
"2025-05-10","부천점","CkhYuetU","166383374","A20001516","2025-05-10 08:46:15","2025-05-10 08:46:42",27
"2025-05-10","부천점","CkhYuetU","166383374","A21014569","2025-05-10 08:46:42","2025-05-10 08:46:54",11
"2025-05-10","부천점","CkhYuetU","166383374","A21002528","2025-05-10 08:46:54","2025-05-10 08:47:01",6
"2025-05-10","부천점","CkhYuetU","166383374","A20001043","2025-05-10 08:47:01","2025-05-10 08:47:10",9
"2025-05-10","부천점","CkhYuetU","166383374","A20003012","2025-05-10 08:47:10","2025-05-10 08:47:15",5
"2025-05-10","부천점","CkhYuetU","166383374","S0005393","2025-05-10 08:47:15","2025-05-10 08:47:36",21
"2025-05-10","부천점","CkhYuetU","166383374","S0000179","2025-05-10 08:47:36","2025-05-10 08:48:08",31
"2025-05-10","부천점","oOs9exjt","166383375","S0003040","2025-05-10 06:45:26","2025-05-10 06:45:51",25
"2025-05-10","부천점","oOs9exjt","166383375","A21010269","2025-05-10 06:45:51","2025-05-10 06:46:22",30
"2025-05-10","부천점","oOs9exjt","166383375","A21010269","2025-05-10 06:46:22","2025-05-10 06:46:29",7
"2025-05-10","부천점","oOs9exjt","166383375","S0000083","2025-05-10 06:46:29","2025-05-10 06:46:41",12
"2025-05-10","부천점","oOs9exjt","166383375","A21021713","2025-05-10 06:46:41","2025-05-10 06:47:10",29
"2025-05-10","부천점","oOs9exjt","166383375","A21001441","2025-05-10 06:47:10","2025-05-10 06:47:15",5
"2025-05-10","부천점","oOs9exjt","166383375","A21013278","2025-05-10 06:47:15","2025-05-10 06:47:32",16
"2025-05-10","부천점","oOs9exjt","166383375","A21012321","2025-05-10 06:47:32","2025-05-10 06:47:44",12
"2025-05-10","부천점","oOs9exjt","166383375","A21009040","2025-05-10 06:47:44","2025-05-10 06:48:22",37
"2025-05-10","부천점","oOs9exjt","166383375","A21009133","2025-05-10 06:48:22","2025-05-10 06:48:32",9
"2025-05-10","부천점","oOs9exjt","166383375","A21005309","2025-05-10 06:48:32","2025-05-10 06:48:56",24
"2025-05-10","부천점","oOs9exjt","166383380","A20000258","2025-05-10 06:52:24","2025-05-10 06:52:36",12
"2025-05-10","부천점","oOs9exjt","166383380","A21005836","2025-05-10 06:52:36","2025-05-10 06:53:28",51
"2025-05-10","부천점","oOs9exjt","166383380","A21003241","2025-05-10 06:53:28","2025-05-10 06:53:45",16
"2025-05-10","부천점","oOs9exjt","166383380","A21002013","2025-05-10 06:53:45","2025-05-10 06:54:07",22
"2025-05-10","부천점","oOs9exjt","166383380","S0000853","2025-05-10 06:54:07","2025-05-10 06:54:24",16
"2025-05-10","부천점","53WqSC3B","166383490","A20000939","2025-05-10 07:52:04","2025-05-10 07:52:25",21
"2025-05-10","부천점","53WqSC3B","166383490","A20000659","2025-05-10 07:52:25","2025-05-10 07:52:47",22
"2025-05-10","부천점","53WqSC3B","166383490","A21013948","2025-05-10 07:52:47","2025-05-10 07:52:59",11
"2025-05-10","부천점","53WqSC3B","166383490","A21003888","2025-05-10 07:52:59","2025-05-10 07:53:19",20
"2025-05-10","부천점","53WqSC3B","166383490","S0004918","2025-05-10 07:53:19","2025-05-10 07:53:26",6
"2025-05-10","부천점","oOs9exjt","166383553","A21010142","2025-05-10 07:04:31","2025-05-10 07:05:01",30
"2025-05-10","부천점","oOs9exjt","166383553","A21010137","2025-05-10 07:05:01","2025-05-10 07:05:18",16
"2025-05-10","부천점","oOs9exjt","166383553","S0005574","2025-05-10 07:05:18","2025-05-10 07:05:32",13
"2025-05-10","부천점","vqdeN3Np","166383613","A20001986","2025-05-10 06:17:00","2025-05-10 06:17:24",23
"2025-05-10","부천점","vqdeN3Np","166383613","A20004287","2025-05-10 06:17:24","2025-05-10 06:17:48",24
