"주문일","SKU코드","SKU명","판매량(Unit)"
"2025-03-27","A18000739","바티스트 드라이 샴푸 후레쉬 200ml",4
"2025-03-27","A18000740","바티스트 드라이 샴푸 오리지널 50ml",2
"2025-03-27","A18000742","바티스트 드라이 샴푸 블러쉬 50ml",3
"2025-03-27","A18000798","케라시스 케라틴본드 딥리페어 트리트먼트600ml",19
"2025-03-27","A18000799","케라시스 케라마이드 극손상세럼 70ml",10
"2025-03-27","A18000927","일리윤 세라마이드 아토 로션 528ml",2
"2025-03-27","A18000930","일리윤 히알루론모이스춰 수분크림 100ml",13
"2025-03-27","A18000956","헤어플러스 단백질 본드 트리트먼트 700ml",1
"2025-03-27","A18000958","헤드스파7 파란눈 블랙 헤어팩 200ml",2
"2025-03-27","A18001008","에뛰드 픽싱틴트 1호 아날로그로즈",2
"2025-03-27","A18001009","에뛰드 픽싱틴트 2호 빈티지레드",1
"2025-03-27","A18001014","아임밤 하얀밤 라벤더향(버블파우더)30g",6
"2025-03-27","A18001015","아임밤 제주도푸른밤(스파클링&버블입욕제)120g",8
"2025-03-27","A18001017","아임밤 취한밤(스파클링&버블입욕제)120g",4
"2025-03-27","A18001020","아임밤 로맨틱 사랑밤(버블바)120g",3
"2025-03-27","A18001021","아임밤 로맨틱 달밤(버블바)120g",4
"2025-03-27","A18001049","토니모리 원더 티트리 모공 산뜻 토너 500ml",1
"2025-03-27","A18001065","닥터포헤어 폴리젠 샴푸 500ml",3
"2025-03-27","A18001110","더랩바이블랑두 올리고 히알루론산 7 멀티 포뮬라 패드 120g",1
"2025-03-27","A18001111","더랩바이블랑두 올리고 히알루론산 5000 토너 200ml",1
"2025-03-27","A18001137","데트클리어 필링젤 믹스프루트 180ml",2
"2025-03-27","A18001158","자빈드서울 윙크 파운데이션 팩트 15g 20호",8
"2025-03-27","A18001159","자빈드서울 윙크 파운데이션 팩트 15g 21호",8
"2025-03-27","A18001160","자빈드서울 윙크 파운데이션 팩트 15g 23호",1
"2025-03-27","A18001181","이브로쉐 라즈베리 샤인 헤어식초 150ml (윤기케어)",2
"2025-03-27","A18001185","스킨푸드 블랙슈가 퍼펙트 첫세럼 더에센셜 120ml",1
"2025-03-27","A18001194","스킨푸드 캐롯카로틴 카밍워터패드 60매",47
"2025-03-27","A18001195","카밀 핸드&네일 크림 클래식 100ml",2
"2025-03-27","A18001198","모레모 헤어 트리트먼트 미라클 2X (180ml)",6
"2025-03-27","A18001199","모레모 워터트리트먼트 200ml",1
"2025-03-27","A18001203","머지 블러핏 틴트 미니 레이어링 4종 키트 (웜톤)",3
"2025-03-27","A18001204","머지 블러핏 틴트 미니 레이어링 4종 키트 (쿨톤)",7
"2025-03-27","A18001220","웰라쥬 리얼 히알루로닉 원데이키트",8
"2025-03-27","A18001221","웰라쥬 리얼 시카카밍 원데이키트",5
"2025-03-27","A18001223","웰라쥬 리얼 히알루로닉 원데이키트 7개입",3
"2025-03-27","A18001224","웰라쥬 리얼 시카카밍 원데이키트 7개입",2
"2025-03-27","A18001225","웰라쥬 리얼 골드 콜라겐 원데이키트 7개입",1
"2025-03-27","A18001226","웰라쥬 리얼 히알루로닉 블루 앰플 100ml",1
"2025-03-27","A18001227","웰라쥬 리얼 시카 카밍 95 크림 80ml",1
"2025-03-27","A18001228","센텔리안24 마데카 더마 마스크 투 1매",10
"2025-03-27","A18001229","센텔리안24 마데카 마이크로 스타톡 세럼 50ml",3
"2025-03-27","A18001234","스킨푸드 로열허니 프로폴리스 인리치 배리어크림",3
"2025-03-27","A18001235","히말라야 립밤 10g",1
"2025-03-27","A18001236","히말라야 스트로베리 립밤 10g",4
"2025-03-27","A18001239","라이프넷 바디워시 플로럴머스크 1000ml",4
"2025-03-27","A18001240","라이프넷 샴푸 플로럴머스크 1000ml",4
"2025-03-27","A18001241","라이프넷 트리트먼트 플로랄머스크 1000ml",2
"2025-03-27","A18001242","라이프넷 바디로션 플로럴머스크 500ml",3
"2025-03-27","A18001267","밀크바오밥 퍼퓸 샴푸 500ml 플로라부케",3
"2025-03-27","A18001268","밀크바오밥 퍼퓸 트리트먼트 500ml 플로라부케",4
"2025-03-27","A18001269","밀크바오밥 퍼퓸 바디워시 500ml 플로라부케",5
"2025-03-27","A18001272","바디버든프로젝트 로즈마리 에센셜 샴푸(건성) 500mL",3
"2025-03-27","A18001275","바디버든프로젝트 로즈우드 에센셜 바디클렌저 1010mL",1
"2025-03-27","A18001281","원씽 어성초 추출물 토너 150ml",6
"2025-03-27","A18001283","원씽 히알루론산 1% 원액 저분자 150ml",1
"2025-03-27","A18001284","원씽 갈락토미세스 발효여과물 토너 150ml",3
"2025-03-27","A18001285","원씽 병풀 수분 세럼 80ml",1
"2025-03-27","A18001287","원씽 병풀 수딩크림 100ml",2
"2025-03-27","A18001290","에뛰드 순정 디렉터 무기자차 선크림 50ml",1
"2025-03-27","A18001294","웰라쥬 리얼 히알루로닉 앰플 마스크 1매",9
"2025-03-27","A18001296","마녀공장 퓨어 클렌징 오일 200ml",9
"2025-03-27","A18001297","마녀공장 퓨어&딥 클렌징 폼 200ml",23
"2025-03-27","A18001298","마녀공장 허브 클렌징 오일 200ml",1
"2025-03-27","A18001299","마녀공장 딥 포어 클렌징  소다 폼 150ml",9
"2025-03-27","A18001300","마녀공장 비피다 바이옴 앰플 토너 400ml",1
